,corruption,level,method,acc,ll
319,gaussian_blur,5,SM 100000,0.15156,-5.09818
320,gaussian_noise,1,Baseline,0.63668,-1.630099
321,gaussian_noise,1,SM (Full),0.67688,-1.3775396
322,gaussian_noise,1,BN,0.68148,-1.337341
323,shot_noise,1,Baseline,0.62432,-1.6987547
324,shot_noise,1,SM (Full),0.67582,-1.3821039
325,shot_noise,1,BN,0.67602,-1.3693087
326,impulse_noise,1,Baseline,0.53514,-2.3072808
327,impulse_noise,1,SM (Full),0.62306,-1.6440043
328,impulse_noise,1,BN,0.63186,-1.5802722
329,defocus_blur,1,Baseline,0.6048,-1.723111
330,defocus_blur,1,SM (Full),0.6681,-1.4192659
331,defocus_blur,1,BN,0.657,-1.4431027
332,glass_blur,1,Baseline,0.54158,-2.1163151
333,glass_blur,1,SM (Full),0.64848,-1.503866
334,glass_blur,1,BN,0.6481,-1.4993565
335,motion_blur,1,Baseline,0.66322,-1.4695632
336,motion_blur,1,SM (Full),0.7265,-1.1416849
337,motion_blur,1,BN,0.72236,-1.1497673
338,zoom_blur,1,Baseline,0.5178,-2.299135
339,zoom_blur,1,SM (Full),0.68524,-1.329753
340,zoom_blur,1,BN,0.63266,-1.5625519
341,snow,1,Baseline,0.56022,-2.1370378
342,snow,1,SM (Full),0.6389,-1.5694853
343,snow,1,BN,0.63086,-1.611618
344,frost,1,Baseline,0.62582,-1.6947908
345,frost,1,SM (Full),0.65878,-1.4803412
346,frost,1,BN,0.65948,-1.4812162
347,fog,1,Baseline,0.65512,-1.5037696
348,fog,1,SM (Full),0.71766,-1.1686509
349,fog,1,BN,0.71776,-1.1654418
350,brightness,1,Baseline,0.74098,-1.094546
351,brightness,1,SM (Full),0.73374,-1.1051131
352,brightness,1,BN,0.73898,-1.0802989
353,contrast,1,Baseline,0.66474,-1.4535592
354,contrast,1,SM (Full),0.7293,-1.1271126
355,contrast,1,BN,0.72404,-1.1443994
356,elastic_transform,1,Baseline,0.67154,-1.4032406
